Name,Namesake
"Metallica
",Metallica (American metal band)
"Moody Blues
",The Moody Blues (British rock band)
"Mr.President
",Mr. President[1] (German eurodance band)T. Rex[1] (English rock band)
"Notorious B.I.G.
",The Notorious B.I.G.[1] (American rapper)
"Nut King Call
",Nat King Cole (American musician)
"Oasis
",Oasis (English rock band)
"Oh! Lonesome Me
",Oh Lonesome Me (Don Gibson song)
"Osiris
",Osiris (Egyptian god)
"Paisley Park
",Paisley Park[1] (Prince song)
"Paper Moon King
",It's Only a Paper Moon[1] (Popular song covered by Nat King Cole)
"Pearl Jam
",Pearl Jam[1] (American rock band)
"Planet Waves
","Planet Waves (Bob Dylan album)Earth, Wind and Fire (American R&B band)"
"Purple Haze
",Purple Haze (Jimi Hendrix song)
"Ratt
",Ratt[1] (American heavy metal band)
"Red Hot Chili Pepper
",Red Hot Chili Peppers[1] (American band)
"Rolling Stones
",The Rolling Stones[1] (English rock band)
"Scan
","Caesar Anthonio Zeppeli (Part 2 character)Julius Caesar (Roman dictator)Led Zeppelin (English rock band)[1]Jennifer Lopez (American singer (Italian edition))Giro (Italian, Portuguese and Spanish term for ""rotation/spin"")"
"Scary Monster
",Scary Monsters (and Super Creeps) (David Bowie album and song)
"Schottkey No.1
",Schottkey 7th Path (Aphex Twin song)
"Schottkey No.2
",Schottkey 7th Path (Aphex Twin song)
"Sethan
",Sethan (Egyptian god)
"Sex Pistols
",Sex Pistols (British punk rock band)
"Silver Chariot
",The Chariot (Tarot Card)
"Sky High
",Sky High (Jigsaw song)
"Soft & Wet
",Soft and Wet[1] (Prince song)
"Soft Machine
",Soft Machine (British rock/jazz band)
"Speed King
",Speed King (Deep Purple song)
"Spice Girl
",Spice Girls (English pop group)
"Star Platinum
",The Star (Tarot Card)[1]
"Sticky Fingers
",Sticky Fingers[1] (The Rolling Stones album)
"Stone Free
",Stone Free (Jimi Hendrix song)[2]
"Stray Cat
",Stray Cats[2] (American rockabilly band)
"Strength
",Strength (Tarot Card)
"Sugar Mountain's Spring
",Sugar Mountain[1] (Neil Young song)
"Sun, The
",Error
"Super Fly
",Super Fly[1] (Curtis Mayfield album)
"Surface
",Surface[1] (American band)
"Survivor
",Survivor (American rock band)
"Talking Head
",Talking Heads (American rock band)
"Tatoo You!
",Tattoo You (The Rolling Stones album)
"Tenore Sax
",Tenor Sax[1] (musical instrument)
"Ticket to Ride
",Ticket to Ride (The Beatles song)
"Tohth
",Tohth (Egyptian god)
"Tomb of the Boom
",Tomb of the Boom (Outkast song)
"Tower of Grey
",Fade to Grey(Visage Song)
"Tubular Bells
",Tubular Bells[1] (Mike Oldfield album series)
"Tusk
",Tusk[1] (Fleetwood Mac song and album)
"Under World
",Underworld (English electronic band)
"Weather Report
",Weather Report (American jazz-fusion band)Blumarine[2] (Blufin fashion line)Domenico Dolce[2] (Italian fashion designer)Emilio Pucci (Florentine fashion designer)[2]
"Wheel of Fortune
",Wheel of Fortune (Tarot Card)
"White Album
",The Beatles (The Beatles album.)[Note 1]While My Guitar Gently Weeps[1] (The Beatles song)
"Whitesnake
",Whitesnake (English rock band)
"Wired
",Wired (Jeff Beck album)
"World, The
",The World (Tarot Card)
"Yellow Temperance
",Temperance (Tarot Card)
Yo-Yo Ma,Yo-Yo Ma (American cellist)
